"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega"
28, 1.624726554020000e-02, 2.220446049250313e-16, 1.326720152558877e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876796672957829e+05, 1.000000000000000e-10, 2.784996534160777e+09
29, 2.039666755470000e-02, 2.220446049250313e-16, 1.326746717408787e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876779595907181e+05, 1.000000000000000e-10, 2.784885278565978e+09
30, 2.458382190520000e-02, 2.220446049250313e-16, 1.326751651370877e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876764143976074e+05, 1.000000000000000e-10, 2.784855490188786e+09
31, 2.881015861120000e-02, 2.220446049250313e-16, 1.326749963380232e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876750079254954e+05, 1.000000000000000e-10, 2.784851301665565e+09
32, 3.307715158840000e-02, 2.220446049250313e-16, 1.326744848370259e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876737694692105e+05, 1.000000000000000e-10, 2.784861076670601e+09
33, 3.738632089750000e-02, 2.220446049250313e-16, 1.326738875338619e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876726573489077e+05, 1.000000000000000e-10, 2.784874974052014e+09
34, 4.173923511390000e-02, 2.220446049250313e-16, 1.326731697187828e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876716337769548e+05, 1.000000000000000e-10, 2.784894000966281e+09
35, 4.613751382460000e-02, 2.220446049250313e-16, 1.326723959439474e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876706824148577e+05, 1.000000000000000e-10, 2.784915641048338e+09
36, 5.058283026210000e-02, 2.220446049250313e-16, 1.326716035040638e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876697899940624e+05, 1.000000000000000e-10, 2.784938412000943e+09
37, 5.507691408390000e-02, 2.220446049250313e-16, 1.326708198462470e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876689482940947e+05, 1.000000000000000e-10, 2.784961234356994e+09
38, 5.962155430870000e-02, 2.220446049250313e-16, 1.326700472456193e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876681555902759e+05, 1.000000000000000e-10, 2.784984010878793e+09
39, 6.421860241959999e-02, 2.220446049250313e-16, 1.326692980718849e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876674074895865e+05, 1.000000000000000e-10, 2.785006249925873e+09
40, 6.886997564640000e-02, 2.220446049250313e-16, 1.326685841479394e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.876666970010556e+05, 1.000000000000000e-10, 2.785027460815660e+09
